Unnamed: 0,image_id,street,citi,n_citi,bed,bath,sqft,price,img_f1,img_f2,img_f3,img_f4,img_f5
13481,13481,1301 Pacific Avenue,"Cayucos, CA",72,2,1.0,846,1050000,0.0,0.97363734,0.0,0.0,1.8308688
2376,2376,845 E Portner Street,"West Covina, CA",397,3,2.0,1255,645000,0.0,1.2288693,0.0,0.0,1.7541775
5958,5958,1249 Creekwood Court,"Perris, CA",278,4,3.0,1853,349900,0.0,1.8109131,0.0,0.0,2.2160468
15206,15206,3514 Dunkirk Drive,"Oxnard, CA",261,3,2.0,1910,727008,0.0,1.2539246,0.0,0.0,1.8004359
6575,6575,8509 Cabin Place,"Riverside, CA",310,4,2.0,2449,529900,0.0,1.3118923,0.0,0.0,2.1037414
9586,9586,5924 Wilshire Drive,"Fontana, CA",119,6,4.0,3683,550000,0.0,0.48837465,0.0,0.0,0.6986828
12612,12612,4703 Ashby St,"San Diego, CA",320,4,2.0,2501,699999,0.0,0.7710611,0.0,0.0,2.3352513
9076,9076,408 Gold Mountain,"Big Bear, CA",38,3,3.0,2046,389900,0.0,0.125626,0.0,0.0,0.0
6465,6465,31447 Janelle Lane,"Winchester, CA",407,4,3.0,2862,498500,0.0,0.28949034,0.0,0.0,1.7083472
2502,2502,8008 Mclaren Avenue,"West Hills, CA",398,4,2.0,1743,749000,0.0,1.2735655,0.0,0.0,5.4206257
12303,12303,725 Vista Santo Thomas,"San Diego, CA",320,4,2.1,2162,599900,0.0,0.6326001,0.0,0.0,0.5415144
214,214,181 Panorama Drive,"Kernville, CA",164,3,2.1,2125,389900,0.0,0.21181943,0.0,0.0,0.24540465
6954,6954,121 Brenna Lane,"Palm Desert, CA",265,4,3.1,2688,629000,0.0,2.038216,0.0,0.0,5.484534
12348,12348,8659 Renown Dr,"San Diego, CA",320,4,2.1,2016,639000,0.0,1.8202758,0.0,0.0,2.1635368
1803,1803,412 N Poplar Avenue,"Montebello, CA",223,3,1.0,1064,548000,0.0,0.38628438,0.0,0.0,0.1429564
13061,13061,1435 30th Street,"San Diego, CA",320,2,1.0,1240,899000,0.0,0.51370853,0.0,0.0,1.7285621
11564,11564,13539 Mijo Ln,"Lakeside, CA",190,2,1.0,964,422888,0.0,0.6569992,0.0,0.0,1.5967317
4420,4420,33872 Silver Lantern Street,"Dana Point, CA",97,5,3.1,3000,800000,0.0,0.8823253,0.0,0.0,2.0154424
7506,7506,4550 Edgewater Circle,"Corona, CA",87,5,4.1,4136,799900,0.0,1.3339573,0.0,0.0,2.1192589
12597,12597,10060 Javelin Way,"Spring Valley, CA",356,5,3.0,2700,699900,0.0,1.1419988,0.0,0.0,4.9325557
14485,14485,3162 Christopher Drive,"Lompoc, CA",203,4,3.1,3655,799500,0.0,1.2533463,0.0,0.0,2.1280026
6549,6549,29705 Caravel Drive,"Menifee, CA",213,4,3.1,3002,499999,0.0,1.9861571,0.0,0.0,2.2798402
8472,8472,341 W Fairway Boulevard,"Big Bear, CA",38,3,2.0,1098,235000,0.0,0.074922115,0.0,0.0,0.26085708
14350,14350,2335 Chapala,"Santa Barbara, CA",332,2,1.0,1072,999000,0.0,1.0959944,0.0,0.0,0.33129108
4369,4369,13291 Edinburgh Drive,"Westminster, CA",402,4,2.0,1326,749900,0.0,0.9750053,0.0,0.0,1.980406
12653,12653,489 BIG SKY,"Oceanside, CA",256,5,3.0,2940,749999,0.0,1.7699513,0.0,0.0,1.6358165
1942,1942,1211 W 6th Street,"San Pedro, CA",330,2,1.0,783,565000,0.0,0.0,0.0,0.0,0.2505897
2269,2269,16241 Itasca Street,"North Hills, CA",244,4,2.0,1812,699000,0.0,1.8518912,0.0,0.0,3.4645064
2427,2427,6635 SHELTONDALE Avenue,"West Hills, CA",398,4,2.0,1810,750000,0.0,1.2370789,0.0,0.0,2.2332191
11454,11454,1656 La Madera Ln,"San Marcos, CA",327,2,2.0,1048,399900,0.0,1.877797,0.0,0.0,1.5983309
9365,9365,159 Velwood Drive,"Redlands, CA",304,3,0.0,1648,450000,0.0,1.420603,0.0,0.0,2.1527965
3673,3673,1603 Monterey Road,"Seal Beach, CA",343,2,1.0,1150,479000,0.0,1.8856809,0.0,0.0,2.0397863
12636,12636,1010 Ridge Heights Drive,"Fallbrook, CA",116,2,2.0,2849,725000,0.0,1.3401955,0.0,0.0,1.735243
15096,15096,209 Cahuenga Drive,"Oxnard, CA",261,1,1.0,560,599000,0.0,1.1285818,0.0,0.0,1.5348352
15252,15252,3880 Sunsetridge Road,"Moorpark, CA",227,4,3.0,2200,765000,0.0,1.8026941,0.0,0.0,1.8355664
13420,13420,125 Moore Lane,"Arroyo Grande, CA",18,3,2.1,2750,1139000,0.0,1.5168905,0.0,0.0,1.3802549
6015,6015,30800 Eton Court,"Menifee, CA",213,3,2.1,1901,405000,0.0,0.90163076,0.0,0.0,1.6866881
8816,8816,26531 6th Street,"Highland, CA",145,4,1.0,1204,299999,0.0,1.2789195,0.0,0.0,0.6749915
4399,4399,14322 Morning Glory,"Westminster, CA",402,3,2.1,1738,799000,0.0,1.7427993,0.0,0.0,3.2227945
10684,10684,15182 Via Maravilla,"Chino Hills, CA",78,5,3.0,3227,949900,0.0,0.89134145,0.0,0.0,1.9647496
2431,2431,3155 Conquista Avenue,"Long Beach, CA",204,3,2.0,1430,735000,0.0,0.80711275,0.0,0.0,0.5902055
3757,3757,245 N Evelyn Drive,"Anaheim, CA",12,3,1.1,1615,555000,0.0,2.4943597,0.0,0.0,3.8176694
5544,5544,2049 Riviera Drive,"Blythe, CA",42,3,2.0,1432,269500,0.0,0.6091017,0.0,0.0,0.66264653
10237,10237,3093 E Echo Court,"Ontario, CA",258,3,2.1,3410,709990,0.0,1.5023471,0.0,0.0,1.3407482
11979,11979,23810 Barona Mesa Rd,"Ramona, CA",296,3,2.0,2197,535000,0.0,1.0438821,0.0,0.0,0.44592676
15318,15318,1242 Sunnycrest Avenue,"Ventura, CA",390,4,2.1,2246,899000,0.0,0.8349443,0.0,0.0,1.9448005
654,654,1855 E Avenue Q12,"Palmdale, CA",267,3,1.0,983,245000,0.0,1.4738785,0.0,0.0,1.4043075
5343,5343,2102 W Lincoln Street,"Banning, CA",26,3,1.0,1141,235000,0.0,0.0,0.0,0.0,0.275
13740,13740,826 Red Cloud Road,"Paso Robles, CA",275,3,2.0,1424,459000,0.0,1.2387902,0.0,0.0,0.40408358
11159,11159,1930 San Marcos Blvd,"San Marcos, CA",327,2,2.0,1776,229500,0.0,0.89907885,0.0,0.0,0.0
11490,11490,1011 Martina Ct,"San Marcos, CA",327,2,2.0,1200,405000,0.0,1.1505891,0.0,0.0,1.5829229
565,565,433 S WILTON Place,"Los Angeles, CA",207,3,3.0,2816,1585000,0.0,0.8867137,0.0,0.0,1.6768007
5059,5059,81755 Macbeth Street,"La Quinta, CA",175,3,4.0,3131,1195000,0.0,4.2001505,0.0,0.0,4.973839
14719,14719,1259 New Bedford Court,"Ventura, CA",390,3,3.0,1707,1650000,0.0,0.47771063,0.0,0.0,0.6470715
8096,8096,28965 N Shore Road,"Lake Arrowhead, CA",182,4,4.1,3910,1395000,0.0,0.90828496,0.0,0.0,1.756872
6204,6204,29598 Pebble Creek Court,"Menifee, CA",213,4,3.0,2298,415000,0.0,1.3492668,0.0,0.0,2.009698
6311,6311,41992 Trinity River Way,"Murrieta, CA",233,3,2.1,2328,449900,0.0,2.6883373,0.0,0.0,3.2479124
6507,6507,19437 Fortunello Avenue,"Riverside, CA",310,4,3.0,2700,539900,0.0,1.8335612,0.0,0.0,1.8038238
9596,9596,34533 Newell Street,"Yucaipa, CA",413,5,3.0,3068,498000,0.0,0.91856897,0.0,0.0,1.5889235
11066,11066,2443 Dos Lomas,"Fallbrook, CA",116,5,5.0,4632,1878000,0.0,1.1611396,0.0,0.0,1.524918
11609,11609,2558 F St,"San Diego, CA",320,1,1.0,504,449999,0.0,1.5919926,0.0,0.0,1.9816074
6324,6324,9902 Avenida Miravilla,"Cherry Valley, CA",77,4,2.0,2517,499999,0.0,0.4474636,0.0,0.0,0.21934648
2313,2313,16563 Shady Valley Lane,"Whittier, CA",404,4,2.0,2158,690000,0.0,0.9889012,0.0,0.0,0.30080426
10015,10015,3718 Cibola Court,"Chino Hills, CA",78,4,3.0,1573,606888,0.0,1.7638409,0.0,0.0,3.1748946
7716,7716,80448 Riviera,"La Quinta, CA",175,4,4.1,3524,859000,0.0,0.923257,0.0,0.0,1.5177301
6293,6293,29602 Big Dipper Way,"Murrieta, CA",233,5,3.0,2643,445900,0.0,1.0201697,0.0,0.0,1.914297
4778,4778,327 E Chestnut Ave,"Orange, CA",259,4,2.0,2164,895000,0.0,1.2524756,0.0,0.0,6.301436
2851,2851,17925 Calle Barcelona,"Rowland Heights, CA",315,4,3.0,2619,850000,0.0,0.37233844,0.0,0.0,0.5059147
4956,4956,81420 National Drive,"La Quinta, CA",175,4,4.1,3980,1350000,0.0,0.5178468,0.0,0.0,1.4866718
15042,15042,8871 Tacoma Street,"Ventura, CA",390,3,2.0,1375,610000,0.0,1.26307,0.0,0.0,1.402926
10138,10138,531 CIENEGA Road,"Big Bear, CA",38,4,3.0,2943,699000,0.0,1.3877082,0.0,0.0,1.7297953
5659,5659,1246 Euclid Avenue,"Beaumont, CA",29,2,2.0,1001,279900,0.0,1.1686876,0.0,0.0,1.9139634
3898,3898,1269 E EASTWOOD Drive,"Anaheim, CA",12,3,1.1,1513,615000,0.0,1.3401666,0.0,0.0,1.7211593
11085,11085,17219 Holly Leaf Court,"San Diego, CA",320,5,5.1,4790,1799900,0.0,0.52044696,0.0,0.0,0.17520201
7675,7675,1591 Shetland Circle,"Norco, CA",243,4,2.1,2980,758888,0.0,0.66015387,0.0,0.0,1.5955242
9833,9833,5327 Mariner Lane,"Chino, CA",79,3,2.1,2033,574880,0.0,1.28693,0.0,0.0,0.1928576
12300,12300,405 S Orange Ave.,"El Cajon, CA",109,4,2.1,2098,599000,0.0,0.5595866,0.0,0.0,1.8916925
10826,10826,16026 Avenida Calma,"Rancho Santa Fe, CA",302,3,3.0,2300,1499000,0.0,1.2962334,0.0,0.0,1.7795936
1588,1588,4909 La Rica Avenue,"Baldwin Park, CA",25,3,1.0,1070,479800,0.0,1.0376676,0.0,0.0,2.1122649
4087,4087,1812 E Briarvale Avenue,"Anaheim, CA",12,5,3.0,1436,647900,0.0,1.7188329,0.0,0.0,2.0950294
5305,5305,35 Evening Star Drive,"Rancho Mirage, CA",300,3,3.1,5298,1990000,0.0,1.3777605,0.0,0.0,6.1062255
1328,1328,5001 Claro Way,"Palmdale, CA",267,4,3.0,2339,425000,0.0,1.0484661,0.0,0.0,0.14858381
3853,3853,2814 Ridgewood Street,"Santa Ana, CA",331,4,2.0,1540,650000,0.0,1.248721,0.0,0.0,2.1868372
2667,2667,3923 Durfee Avenue,"Pico Rivera, CA",281,4,3.0,2400,799000,0.0,1.5887086,0.0,0.0,0.24726598
677,677,44234 Fenhold Street,"Lancaster, CA",193,3,2.0,1296,239900,0.0,1.3122165,0.0,0.0,2.0501552
2398,2398,22664 Cohasset Street,"West Hills, CA",398,4,2.0,1400,739000,0.0,0.74060243,0.0,0.0,2.4785802
5693,5693,62449 N Starcross Drive,"Desert Hot Springs, CA",101,3,3.0,1786,303900,0.0,0.5204213,0.0,0.0,1.7238024
7395,7395,16149 Sierra Heights Drive,"Riverside, CA",310,4,2.1,3138,739900,0.0,1.2062175,0.0,0.0,1.8852276
623,623,136 N Valley St,"Burbank, CA",52,4,3.1,2366,1599000,0.0,1.0325291,0.0,0.0,7.751141
3658,3658,6782 Tahitian Circle,"Yorba Linda, CA",412,2,1.1,1065,465000,0.0,1.2632728,0.0,0.0,1.9329318
10032,10032,39693 Lake Drive,"Big Bear Lake, CA",37,4,4.1,3190,649900,0.0,1.22004,0.0,0.0,2.0288813
3689,3689,13321 Fairfield Lane 182G,"Seal Beach, CA",343,2,2.0,1120,458000,0.0,2.0313828,0.0,0.0,1.5725409
4475,4475,1028 N Reiser Court,"Anaheim, CA",12,4,3.0,2406,765000,0.0,1.9546843,0.0,0.0,2.1800542
631,631,3549 W K10,"Lancaster, CA",193,4,2.0,1178,249000,0.0,1.2299086,0.0,0.0,3.421336
9604,9604,8959 Yucca Terrace Drive,"Phelan, CA",279,3,2.0,2785,545000,0.0,0.58564776,0.0,0.0,1.482972
